model,roc_auc,pr_auc,f1_at_thr,thr
RandomForest,0.6918888426577904,0.6386646775655853,0.43309002433090027,0.645
LightGBM,0.6586064524388682,0.6034424173169994,0.35658914728682173,0.9868099953850173
KNN,0.6312652029189604,0.5507970244123461,0.5401709401709401,0.4
NaiveBayes,0.5431282806298809,0.5202450473765245,0.45774647887323944,1.4044841898475695e-13
DecisionTree,0.6022316284726668,0.491915997750892,0.5254901960784314,0.5861111111111111
LogisticRegression,0.5202918960440405,0.4167209132472063,0.48120300751879697,0.39225764903926075
